year,month,day,individualCount,stateProvince,decimalLongitude,decimalLatitude
2023,2,22,1,Victoria,145.94126,-36.91677
2020,10,13,1,Victoria,145.20429,-37.17146
2023,1,4,1,Victoria,144.1931,-37.43318
2021,5,4,1,Victoria,145.6163,-38.31517
2022,9,7,1,Victoria,146.02382,-37.8599
2023,11,15,1,Victoria,143.25557,-37.07781
2021,1,18,1,Victoria,145.68961,-37.83524
2023,2,22,1,Victoria,144.10302,-37.50187
2021,11,3,1,Victoria,145.41869,-38.32678
2020,7,3,1,Victoria,146.65196,-36.1626
2020,2,27,1,Victoria,146.6222,-38.36137
2022,9,1,1,Victoria,145.37108,-38.3712
2022,9,10,1,Victoria,145.37115,-38.37124
2021,7,12,1,Victoria,146.85066,-38.40657
2022,11,24,1,Victoria,144.259,-37.4433
2021,7,8,1,Victoria,145.49707,-38.34938
2022,12,6,1,Victoria,144.24854,-37.44482
2022,8,26,1,Victoria,145.64963,-37.02372
2020,2,28,1,Victoria,144.342,-37.4594
2023,5,23,1,Victoria,145.58712,-37.26648
2022,11,8,1,Victoria,143.72115,-38.55454
2022,10,13,1,Victoria,141.08213,-38.01045
2022,1,17,1,Victoria,141.96235,-37.64806
2023,2,3,1,Victoria,146.89382,-38.45906
2021,6,28,1,Victoria,145.69033,-37.57712
2021,9,27,1,Victoria,146.21782,-37.9298
2022,1,31,1,Victoria,145.43545,-38.3636
2023,1,29,1,Victoria,144.17537,-37.42964
2020,5,12,1,Victoria,146.36721,-38.51672
2023,2,14,1,Victoria,144.1001,-37.40403
2021,11,17,1,Victoria,147.44619,-38.138
2021,2,3,1,Victoria,144.2603,-37.5162
2022,10,6,1,Victoria,141.52091,-37.91606
2021,7,13,1,Victoria,143.52018,-38.80639
2020,1,17,1,Victoria,146.50995,-38.60378
2022,10,6,1,Victoria,141.64146,-38.19674
2022,11,26,4,Queensland,153.35641,-27.93914
2021,10,22,1,Victoria,145.43563,-38.36352
2022,1,30,1,Victoria,144.25093,-37.44621
2023,2,16,1,Victoria,144.07233,-37.45255
2022,1,16,1,Victoria,143.29312,-37.0892
2021,12,16,1,Victoria,148.27004,-37.30715
